fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	coverage	leaf_size_log	prob_corte	estimulos	ganancia	iteracion_bayesiana
20221029 222826	1223	53571	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	92	1	1	1	0.1	50	0.5	FALSE	318601	0.223117268258648	0.480317440690124	0.876090848344756	3.9554396559397	0.0193528272006259	14783	14434000	1
20221029 222929	1223	53571	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	755	1	1	1	0.1	50	0.5	FALSE	318601	0.154266372669954	0.365245857517584	0.487920374050736	2.40712040304788	0.0179248850286092	16854	11492000	2
20221029 222944	1223	53571	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	105	1	1	1	0.1	50	0.5	FALSE	318601	0.282273596522864	0.742410015393398	0.296680270470824	3.1316288314556	0.0210136339684943	16386	13708000	3
20221029 223013	1223	53571	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	63	1	1	1	0.1	50	0.5	FALSE	318601	0.0962412493600277	0.684437906343374	0.743305119615252	6.41024104176904	0.0224699211967515	14747	16426000	4
20221029 223120	1223	53571	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	277	1	1	1	0.1	50	0.5	FALSE	318601	0.0816134759096894	0.451231086390908	0.668750315823127	8.95985547627788	5.78278778850279e-05	15044	15992000	5
20221029 223150	1223	53571	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	31	1	1	1	0.1	50	0.5	FALSE	318601	0.206622807467793	0.328783264526282	0.561879967330606	8.32146239643043	0.0336980582956279	14208	16784000	6
20221029 223336	1223	53571	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	690	1	1	1	0.1	50	0.5	FALSE	318601	0.0431911488443438	0.242159269854892	0.623797385385115	9.51694832471549	3.96902581292614e-05	15881	16478000	7
20221029 223406	1223	53571	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	44	1	1	1	0.1	50	0.5	FALSE	318601	0.254122122152185	0.587292613770114	0.138409811713791	11.6300462069776	0.000678969845971411	15235	15210000	8
20221029 223551	1223	53571	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	493	1	1	1	0.1	50	0.5	FALSE	318601	0.0481410959089408	0.615456515972619	0.256646258816181	10.9872008153761	2.45409276500406e-06	16815	13490000	9
20221029 223710	1223	53571	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	967	1	1	1	0.1	50	0.5	FALSE	318601	0.161657389217144	0.413430136907846	0.936487572899205	1.77405687930877	0.0192227556992663	17189	10182000	10
20221029 223729	1223	53571	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	35	1	1	1	0.1	50	0.5	FALSE	318601	0.229142563066998	0.300267590978183	0.0988389996011392	7.77014245565806	0.028229862820398	15677	15926000	11
20221029 223749	1223	53571	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	86	1	1	1	0.1	50	0.5	FALSE	318601	0.130806735827791	0.720517265005037	0.38298203731174	5.31358531703881	0.0248351246913456	12455	17970000	12
20221029 223811	1223	53571	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	111	1	1	1	0.1	50	0.5	FALSE	318601	0.109508611023775	0.764818766785902	0.948309074300778	4.57323265675223	0.020449150559308	14839	16082000	13
20221029 223859	1223	53571	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	112	1	1	1	0.1	50	0.5	FALSE	318601	0.17953241246214	0.543883097238722	0.783718911315373	10.0113450552599	1.96857849699703e-05	15117	15286000	14
20221029 224004	1223	53571	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	574	1	1	1	0.1	50	0.5	FALSE	318601	0.0266266715948586	0.221572402465972	0.203123700521246	6.63566264182737	0.0273153837615853	14224	18192000	15
20221029 224131	1223	53571	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1053	1	1	1	0.1	50	0.5	FALSE	318601	0.270660041824885	0.519588993914658	0.410915515330271	1.36731186359248	0.0180130795935853	17285	9030000	16
20221029 224401	1223	53571	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1939	1	1	1	0.1	50	0.5	FALSE	318601	0.0102048124232223	0.200332022581413	0.269068287769695	5.57353897864066	0.0253330187733098	14456	17968000	17
20221029 224754	1223	53571	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	6360	1	1	1	0.1	50	0.5	FALSE	318601	0.0100913991562676	0.797081850543224	0.0500538026870491	5.25850783534674	0.0263636635663907	14205	16550000	18
20221029 224815	1223	53571	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	65	1	1	1	0.1	50	0.5	FALSE	318601	0.105052816750963	0.200420745766241	0.410438455216138	6.13269606544574	0.0479756743252084	14631	17218000	19
20221029 225054	1223	53571	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1074	1	1	1	0.1	50	0.5	FALSE	318601	0.0100822318054938	0.227681295786038	0.45897294089124	7.26855421154687	0.0307588396046411	13893	18934000	20
20221029 225424	1223	53571	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2074	1	1	1	0.1	50	0.5	FALSE	318601	0.0100212311354307	0.200492795980519	0.834655165050313	7.37339548912298	0.00534387332776682	15054	17652000	21
20221029 225624	1223	53571	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1057	1	1	1	0.1	50	0.5	FALSE	318601	0.0100177167842214	0.20223833617681	0.357947625657142	7.65026802502292	0.0352820885971329	13978	18924000	22
20221029 225819	1223	53571	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	860	1	1	1	0.1	50	0.5	FALSE	318601	0.0100209815560138	0.28569896623997	0.377324124682197	7.36255793249542	0.0349501754799655	13503	18594000	23
20221029 225838	1223	53571	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	25	1	1	1	0.1	50	0.5	FALSE	318601	0.299826197760771	0.799811936821099	0.478869684168402	5.81403356443002	0.018925753719144	15765	13510000	24
