Feature	Gain	Cover	Frequency
azar_under	0.522125516258764	0.0839272421655244	0.0470249520153551
ctrx_quarter_normalizado	0.180324425636782	0.0103953151797441	0.00767754318618042
mpasivos_margen_max6	0.0494899531812259	0.0042645794814191	0.00479846449136276
mcaja_ahorro	0.0262092887159472	0.0116700868094837	0.0105566218809981
mpayroll_sobre_edad	0.017748341169208	0.0086997337744319	0.00479846449136276
mpasivos_margen	0.0171768295388737	0.00470116230187047	0.00767754318618042
cpayroll_trx	0.01540360277864	0.00575649196771287	0.00287907869481766
mpayroll	0.0124842783536709	0.00813520938570643	0.00383877159309021
mtarjeta_visa_consumo	0.0100351993792196	0.0110190407846592	0.00767754318618042
mprestamos_personales_lag1	0.00947925967461278	0.00237281821553226	0.00191938579654511
cpayroll_trx_min6	0.00882585779879959	0.00346475640728696	0.00191938579654511
vm_msaldototal	0.007331214253593	0.00147446590880184	0.00191938579654511
Visa_status	0.00675149867228491	0.00100914016571989	0.000959692898272553
mcuentas_saldo	0.00650866447776369	0.0241348087419988	0.0153550863723608
mcomisiones_min6	0.00642947742714548	0.0116446909520794	0.0105566218809981
mcaja_ahorro_avg6	0.00619122125012544	0.00220479554117359	0.00383877159309021
cpayroll_trx_lag1	0.00451270764046853	0.00179720667324477	0.000959692898272553
vmr_msaldototal_lag1	0.00423253795400584	0.000498796395344634	0.000959692898272553
mcomisiones_avg6	0.00417957297782202	0.0123516748044979	0.00863723608445298
ccomisiones_mantenimiento_delta2	0.00279982818391032	0.00676625970816269	0.00383877159309021
vm_msaldopesos	0.00276102899878117	0.000793798356724857	0.000959692898272553
mrentabilidad_annual_avg6	0.00270113064429416	0.00166629458458235	0.00383877159309021
mcomisiones_mantenimiento_delta2	0.00266926888791566	0.00661476316835872	0.00479846449136276
mrentabilidad_annual_max6	0.00233218493659446	0.00326556418800867	0.00479846449136276
cproductos_delta2	0.00166091340805379	0.0109825577736929	0.00479846449136276
mprestamos_personales_min6	0.00135957826944601	0.00369474162664692	0.00191938579654511
Master_fultimo_cierre_delta1	0.00113650971350431	0.000393280164086526	0.000959692898272553
mprestamos_personales	0.0010500821432167	0.0188077034045009	0.00959692898272553
cdescubierto_preacordado_avg6	0.00101618575371749	0.00385167714744358	0.00191938579654511
cprestamos_personales	0.00097959369957606	0.00731409060907215	0.00575815738963532
cproductos_tend6	0.000929325675444345	0.0133080986929041	0.00671785028790787
ctarjeta_visa_transacciones_delta2	0.000811479231329981	0.00769611626633535	0.00575815738963532
mcomisiones_tend6	0.000799777615068729	0.00770096951091344	0.00863723608445298
ctrx_quarter	0.000790317913953945	0.00201727621187191	0.000959692898272553
vm_status02	0.000786757133961624	0.000849903537580179	0.000959692898272553
mautoservicio	0.000726274972971479	0.00650945612867725	0.00863723608445298
Visa_msaldototal	0.000698743181077263	0.000322866279388906	0.000959692898272553
cdescubierto_preacordado_min6	0.000673164216816522	0.00958737547243826	0.00479846449136276
mrentabilidad_delta1	0.000670082228324377	0.00635900554675649	0.0105566218809981
mtarjeta_visa_consumo_tend6	0.000650837307140716	0.00373063890119865	0.00575815738963532
mpayroll_min6	0.000650440742735685	0.0018974512767715	0.000959692898272553
ctrx_quarter_lag1	0.000617491521015583	0.000794007548301498	0.00191938579654511
mpasivos_margen_min6	0.000563038723625376	0.00607220389518063	0.00959692898272553
mcuenta_corriente_avg6	0.00054613281840828	0.00901071797226756	0.00575815738963532
mactivos_margen_delta2	0.000542475490203379	0.00887143822053947	0.00671785028790787
mrentabilidad_annual_tend6	0.00054241016807989	0.00414383410338147	0.00671785028790787
mrentabilidad_annual	0.00053757230985621	0.00466547421889539	0.00671785028790787
mcuentas_saldo_tend6	0.000535970077060456	0.00390652717883905	0.00575815738963532
mactivos_margen	0.000508667932739031	0.00641770470316217	0.00767754318618042
ctrx_quarter_normalizado_delta1	0.000507271458157575	0.00304557832601219	0.00479846449136276
vm_fechaalta_lag1	0.000498356673227238	0.00181373280779947	0.00191938579654511
Visa_fechaalta	0.000480109000820038	0.00304553648769686	0.00671785028790787
mcomisiones_mantenimiento_delta1	0.00047552020822513	0.00370804621092134	0.00191938579654511
mactivos_margen_min6	0.000474130549387345	0.00533204225870672	0.00479846449136276
mcuenta_corriente_min6	0.000461964270008303	0.00189556855258173	0.00383877159309021
